time,0,1,2,3,4,5
60,8.853376517264921e-06,0.001088476443869002,0.003707837790966742,0.008992756278773079,0.014092371847181914,0.0274947326982306
120,4.099481309971509e-10,3.755604035329818e-06,6.33082310270705e-05,0.00043854218635895614,0.0010911149138357334,0.0026891457952059813
180,1.0226562652260185e-11,1.561306890718317e-08,1.4993234546401002e-06,2.5154406936539475e-05,0.00010085217299073135,0.0003892484949472308
240,1.0137106432051013e-11,9.18849718534176e-11,3.536330887843331e-08,1.4105193608532351e-06,1.4173979314288654e-05,5.1196710178225135e-05
300,1.012950140433233e-11,2.4493683610193833e-11,1.6250502471448769e-09,1.200970416725955e-07,1.0749647042646027e-06,6.798790867998394e-06
