,high_standard_deviation,low_standard_deviation,negative_skewness,normal_standard_deviation,positive_skewness,x,zero_snewness
0,0.004382075123392135,1.1041896724319527e-87,1.4867195147342979e-06,7.433597573671489e-07,1.1328584190426526e-29,-10.0,7.433597573671489e-07
1,0.00443719478740311,2.457417338943541e-87,1.5629451759545646e-06,7.814725879772823e-07,1.4574808298128338e-29,-9.97997997997998,7.814725879772823e-07
2,0.004492895221965325,5.460317454006169e-87,1.6429143776209077e-06,8.214571888104538e-07,1.8741922343018567e-29,-9.95995995995996,8.214571888104538e-07
3,0.00454918090945422,1.2113247865720744e-86,1.726802225602747e-06,8.634011128013735e-07,2.4088485256423031e-29,-9.93993993993994,8.634011128013735e-07
4,0.0046060563441991855,2.6829158574803306e-86,1.8147915680031394e-06,9.073957840015697e-07,3.094488901394499e-29,-9.91991991991992,9.073957840015697e-07
5,0.004663526032180168,5.932766253248348e-86,1.9070733153312075e-06,9.535366576656037e-07,3.973310039207682e-29,-9.8998998998999,9.535366576656037e-07
6,0.00472159449071903,1.3098186206902878e-85,2.0038467728640893e-06,1.0019233864320446e-06,5.099176835743948e-29,-9.87987987987988,1.0019233864320446e-06
7,0.004780266248165609,2.8871464872582526e-85,2.1053199856146367e-06,1.0526599928073184e-06,6.540813886788264e-29,-9.85985985985986,1.0526599928073184e-06
8,0.004839545843578483,6.353751363969448e-85,2.211710096333239e-06,1.1058550481666195e-06,8.38586017598114e-29,-9.83983983983984,1.1058550481666195e-06
9,0.004899437826400408,1.3960319227843983e-84,2.3232437169845257e-06,1.1616218584922628e-06,1.074601777562834e-28,-9.81981981981982,1.1616218584922628e-06
10,0.004959946756128428,3.062416243827957e-84,2.440157314152359e-06,1.2200786570761796e-06,1.3763586349001777e-28,-9.7997997997998,1.2200786570761796e-06
11,0.0050210772019786245,6.7071315910121075e-84,2.5626976088394264e-06,1.2813488044197132e-06,1.7619752148899498e-28,-9.77977977977978,1.2813488044197132e-06
12,0.005082833742545491,1.4666050344529972e-83,2.691121991140962e-06,1.345560995570481e-06,2.2545097135651043e-28,-9.75975975975976,1.345560995570481e-06
