time,0,1,2,3,4,5
60,3.055466163858542e-08,0.0004937648719179628,0.006013688162067406,0.038334555325493486,0.07923764434608968,0.2657376379713353
120,6.550319222181462e-17,5.894137935093985e-09,1.7604092429432711e-06,8.797213897787709e-05,0.000573053640712608,0.003739951052860872
180,4.060185519506876e-20,1.0186703422045298e-13,9.874543294331145e-10,2.8898334456643305e-07,4.817056702413395e-06,7.543800886012736e-05
240,3.977645692800806e-20,3.530430091859611e-18,5.493464103070855e-13,9.085627970762049e-10,9.477195759339589e-08,1.2830684508498482e-06
300,3.9694703801967894e-20,1.4866566176892616e-19,1.1615099125580872e-15,6.586733936818119e-12,5.449457834780056e-10,2.253486189078195e-08
